"","params","delta","n","decision"
"1","delta=0.1, n=15",0.1,15,0
"2","delta=0.1, n=15",0.1,15,0
"3","delta=0.1, n=15",0.1,15,0
"4","delta=0.1, n=15",0.1,15,1
"5","delta=0.1, n=15",0.1,15,0
"6","delta=0.1, n=15",0.1,15,0
"7","delta=0.1, n=15",0.1,15,0
"8","delta=0.1, n=15",0.1,15,0
"9","delta=0.1, n=15",0.1,15,0
"10","delta=0.1, n=15",0.1,15,0
"11","delta=0.1, n=15",0.1,15,0
"12","delta=0.1, n=15",0.1,15,0
"13","delta=0.1, n=15",0.1,15,0
"14","delta=0.1, n=15",0.1,15,0
"15","delta=0.1, n=15",0.1,15,0
"16","delta=0.1, n=15",0.1,15,0
"17","delta=0.1, n=15",0.1,15,0
"18","delta=0.1, n=15",0.1,15,0
"19","delta=0.1, n=15",0.1,15,0
"20","delta=0.1, n=15",0.1,15,0
"21","delta=0.1, n=15",0.1,15,0
"22","delta=0.1, n=15",0.1,15,0
"23","delta=0.1, n=15",0.1,15,0
"24","delta=0.1, n=15",0.1,15,0
"25","delta=0.1, n=15",0.1,15,0
"26","delta=0.1, n=15",0.1,15,0
"27","delta=0.1, n=15",0.1,15,0
"28","delta=0.1, n=15",0.1,15,0
"29","delta=0.1, n=15",0.1,15,0
"30","delta=0.1, n=15",0.1,15,0
"31","delta=0.1, n=15",0.1,15,1
"32","delta=0.1, n=15",0.1,15,0
"33","delta=0.1, n=15",0.1,15,0
"34","delta=0.1, n=15",0.1,15,0
"35","delta=0.1, n=15",0.1,15,0
"36","delta=0.1, n=15",0.1,15,0
"37","delta=0.1, n=15",0.1,15,0
"38","delta=0.1, n=15",0.1,15,0
"39","delta=0.1, n=15",0.1,15,0
"40","delta=0.1, n=15",0.1,15,0
"41","delta=0.1, n=15",0.1,15,0
"42","delta=0.1, n=15",0.1,15,0
"43","delta=0.1, n=15",0.1,15,0
"44","delta=0.1, n=15",0.1,15,0
"45","delta=0.1, n=15",0.1,15,1
"46","delta=0.1, n=15",0.1,15,0
"47","delta=0.1, n=15",0.1,15,1
"48","delta=0.1, n=15",0.1,15,0
"49","delta=0.1, n=15",0.1,15,0
"50","delta=0.1, n=15",0.1,15,0
"51","delta=0.1, n=15",0.1,15,0
"52","delta=0.1, n=15",0.1,15,0
"53","delta=0.1, n=15",0.1,15,1
"54","delta=0.1, n=15",0.1,15,0
"55","delta=0.1, n=15",0.1,15,1
"56","delta=0.1, n=15",0.1,15,0
"57","delta=0.1, n=15",0.1,15,0
"58","delta=0.1, n=15",0.1,15,0
"59","delta=0.1, n=15",0.1,15,0
"60","delta=0.1, n=15",0.1,15,0
"61","delta=0.1, n=15",0.1,15,0
"62","delta=0.1, n=15",0.1,15,0
"63","delta=0.1, n=15",0.1,15,0
"64","delta=0.1, n=15",0.1,15,0
"65","delta=0.1, n=15",0.1,15,0
"66","delta=0.1, n=15",0.1,15,0
"67","delta=0.1, n=15",0.1,15,0
"68","delta=0.1, n=15",0.1,15,0
"69","delta=0.1, n=15",0.1,15,0
"70","delta=0.1, n=15",0.1,15,0
"71","delta=0.1, n=15",0.1,15,0
"72","delta=0.1, n=15",0.1,15,0
"73","delta=0.1, n=15",0.1,15,0
"74","delta=0.1, n=15",0.1,15,0
"75","delta=0.1, n=15",0.1,15,0
"76","delta=0.1, n=15",0.1,15,0
"77","delta=0.1, n=15",0.1,15,0
"78","delta=0.1, n=15",0.1,15,0
"79","delta=0.1, n=15",0.1,15,0
"80","delta=0.1, n=15",0.1,15,0
"81","delta=0.1, n=15",0.1,15,0
"82","delta=0.1, n=15",0.1,15,0
"83","delta=0.1, n=15",0.1,15,0
"84","delta=0.1, n=15",0.1,15,0
"85","delta=0.1, n=15",0.1,15,0
"86","delta=0.1, n=15",0.1,15,0
"87","delta=0.1, n=15",0.1,15,0
"88","delta=0.1, n=15",0.1,15,0
"89","delta=0.1, n=15",0.1,15,0
"90","delta=0.1, n=15",0.1,15,0
"91","delta=0.1, n=15",0.1,15,0
"92","delta=0.1, n=15",0.1,15,0
"93","delta=0.1, n=15",0.1,15,0
"94","delta=0.1, n=15",0.1,15,0
"95","delta=0.1, n=15",0.1,15,0
"96","delta=0.1, n=15",0.1,15,0
"97","delta=0.1, n=15",0.1,15,0
"98","delta=0.1, n=15",0.1,15,0
"99","delta=0.1, n=15",0.1,15,0
"100","delta=0.1, n=15",0.1,15,0
"101","delta=0.1, n=15",0.1,15,0
"102","delta=0.1, n=15",0.1,15,0
"103","delta=0.1, n=15",0.1,15,0
"104","delta=0.1, n=15",0.1,15,0
"105","delta=0.1, n=15",0.1,15,0
"106","delta=0.1, n=15",0.1,15,0
"107","delta=0.1, n=15",0.1,15,0
"108","delta=0.1, n=15",0.1,15,0
"109","delta=0.1, n=15",0.1,15,1
"110","delta=0.1, n=15",0.1,15,1
"111","delta=0.1, n=15",0.1,15,0
"112","delta=0.1, n=15",0.1,15,0
"113","delta=0.1, n=15",0.1,15,0
"114","delta=0.1, n=15",0.1,15,0
"115","delta=0.1, n=15",0.1,15,0
"116","delta=0.1, n=15",0.1,15,0
"117","delta=0.1, n=15",0.1,15,0
"118","delta=0.1, n=15",0.1,15,0
"119","delta=0.1, n=15",0.1,15,1
"120","delta=0.1, n=15",0.1,15,0
"121","delta=0.1, n=15",0.1,15,0
"122","delta=0.1, n=15",0.1,15,0
"123","delta=0.1, n=15",0.1,15,1
"124","delta=0.1, n=15",0.1,15,0
"125","delta=0.1, n=15",0.1,15,0
"126","delta=0.1, n=15",0.1,15,0
"127","delta=0.1, n=15",0.1,15,0
"128","delta=0.1, n=15",0.1,15,0
"129","delta=0.1, n=15",0.1,15,1
"130","delta=0.1, n=15",0.1,15,0
"131","delta=0.1, n=15",0.1,15,0
"132","delta=0.1, n=15",0.1,15,0
"133","delta=0.1, n=15",0.1,15,1
"134","delta=0.1, n=15",0.1,15,0
"135","delta=0.1, n=15",0.1,15,0
"136","delta=0.1, n=15",0.1,15,0
"137","delta=0.1, n=15",0.1,15,0
"138","delta=0.1, n=15",0.1,15,0
"139","delta=0.1, n=15",0.1,15,0
"140","delta=0.1, n=15",0.1,15,0
"141","delta=0.1, n=15",0.1,15,1
"142","delta=0.1, n=15",0.1,15,0
"143","delta=0.1, n=15",0.1,15,0
"144","delta=0.1, n=15",0.1,15,0
"145","delta=0.1, n=15",0.1,15,0
"146","delta=0.1, n=15",0.1,15,0
"147","delta=0.1, n=15",0.1,15,0
"148","delta=0.1, n=15",0.1,15,0
"149","delta=0.1, n=15",0.1,15,0
"150","delta=0.1, n=15",0.1,15,0
"151","delta=0.1, n=15",0.1,15,0
"152","delta=0.1, n=15",0.1,15,0
"153","delta=0.1, n=15",0.1,15,1
"154","delta=0.1, n=15",0.1,15,0
"155","delta=0.1, n=15",0.1,15,1
"156","delta=0.1, n=15",0.1,15,0
"157","delta=0.1, n=15",0.1,15,0
"158","delta=0.1, n=15",0.1,15,0
"159","delta=0.1, n=15",0.1,15,0
"160","delta=0.1, n=15",0.1,15,0
"161","delta=0.1, n=15",0.1,15,0
"162","delta=0.1, n=15",0.1,15,0
"163","delta=0.1, n=15",0.1,15,0
"164","delta=0.1, n=15",0.1,15,0
"165","delta=0.1, n=15",0.1,15,0
"166","delta=0.1, n=15",0.1,15,0
"167","delta=0.1, n=15",0.1,15,0
"168","delta=0.1, n=15",0.1,15,1
"169","delta=0.1, n=15",0.1,15,0
"170","delta=0.1, n=15",0.1,15,0
"171","delta=0.1, n=15",0.1,15,0
"172","delta=0.1, n=15",0.1,15,0
"173","delta=0.1, n=15",0.1,15,0
"174","delta=0.1, n=15",0.1,15,0
"175","delta=0.1, n=15",0.1,15,0
"176","delta=0.1, n=15",0.1,15,1
"177","delta=0.1, n=15",0.1,15,0
"178","delta=0.1, n=15",0.1,15,0
"179","delta=0.1, n=15",0.1,15,0
"180","delta=0.1, n=15",0.1,15,0
"181","delta=0.1, n=15",0.1,15,0
"182","delta=0.1, n=15",0.1,15,0
"183","delta=0.1, n=15",0.1,15,0
"184","delta=0.1, n=15",0.1,15,0
"185","delta=0.1, n=15",0.1,15,0
"186","delta=0.1, n=15",0.1,15,0
"187","delta=0.1, n=15",0.1,15,0
"188","delta=0.1, n=15",0.1,15,0
"189","delta=0.1, n=15",0.1,15,0
"190","delta=0.1, n=15",0.1,15,0
"191","delta=0.1, n=15",0.1,15,0
"192","delta=0.1, n=15",0.1,15,0
"193","delta=0.1, n=15",0.1,15,0
"194","delta=0.1, n=15",0.1,15,1
"195","delta=0.1, n=15",0.1,15,1
