"","params","h","decision"
"1","h=0.02",0.02,0
"2","h=0.02",0.02,0
"3","h=0.02",0.02,0
"4","h=0.02",0.02,0
"5","h=0.02",0.02,0
"6","h=0.02",0.02,0
"7","h=0.02",0.02,0
"8","h=0.02",0.02,0
"9","h=0.02",0.02,0
"10","h=0.02",0.02,0
"11","h=0.02",0.02,0
"12","h=0.02",0.02,0
"13","h=0.02",0.02,0
"14","h=0.02",0.02,0
"15","h=0.02",0.02,0
"16","h=0.02",0.02,0
"17","h=0.02",0.02,0
"18","h=0.02",0.02,0
"19","h=0.02",0.02,0
"20","h=0.02",0.02,0
"21","h=0.02",0.02,0
"22","h=0.02",0.02,0
"23","h=0.02",0.02,0
"24","h=0.02",0.02,0
"25","h=0.02",0.02,0
"26","h=0.02",0.02,0
"27","h=0.02",0.02,0
"28","h=0.02",0.02,0
"29","h=0.02",0.02,0
"30","h=0.02",0.02,0
"31","h=0.02",0.02,0
"32","h=0.02",0.02,0
"33","h=0.02",0.02,0
"34","h=0.02",0.02,0
"35","h=0.02",0.02,0
"36","h=0.02",0.02,0
"37","h=0.02",0.02,0
"38","h=0.02",0.02,0
"39","h=0.02",0.02,0
"40","h=0.02",0.02,0
"41","h=0.02",0.02,0
"42","h=0.02",0.02,0
"43","h=0.02",0.02,0
"44","h=0.02",0.02,0
"45","h=0.02",0.02,0
"46","h=0.02",0.02,0
"47","h=0.02",0.02,0
"48","h=0.02",0.02,0
"49","h=0.02",0.02,0
"50","h=0.02",0.02,0
"51","h=0.02",0.02,0
"52","h=0.02",0.02,0
"53","h=0.02",0.02,0
"54","h=0.02",0.02,0
"55","h=0.02",0.02,0
"56","h=0.02",0.02,0
"57","h=0.02",0.02,0
"58","h=0.02",0.02,0
"59","h=0.02",0.02,0
"60","h=0.02",0.02,0
"61","h=0.02",0.02,0
"62","h=0.02",0.02,0
"63","h=0.02",0.02,0
"64","h=0.02",0.02,0
"65","h=0.02",0.02,0
"66","h=0.02",0.02,0
"67","h=0.02",0.02,0
"68","h=0.02",0.02,0
"69","h=0.02",0.02,0
"70","h=0.02",0.02,0
"71","h=0.02",0.02,0
"72","h=0.02",0.02,0
"73","h=0.02",0.02,0
"74","h=0.02",0.02,0
"75","h=0.02",0.02,0
"76","h=0.02",0.02,0
"77","h=0.02",0.02,0
"78","h=0.02",0.02,0
"79","h=0.02",0.02,0
"80","h=0.02",0.02,0
"81","h=0.02",0.02,0
"82","h=0.02",0.02,0
"83","h=0.02",0.02,0
"84","h=0.02",0.02,0
"85","h=0.02",0.02,0
"86","h=0.02",0.02,0
"87","h=0.02",0.02,0
"88","h=0.02",0.02,0
"89","h=0.02",0.02,0
"90","h=0.02",0.02,0
"91","h=0.02",0.02,0
"92","h=0.02",0.02,0
"93","h=0.02",0.02,0
"94","h=0.02",0.02,0
"95","h=0.02",0.02,0
"96","h=0.02",0.02,0
"97","h=0.02",0.02,0
"98","h=0.02",0.02,0
"99","h=0.02",0.02,0
"100","h=0.02",0.02,0
"101","h=0.02",0.02,0
"102","h=0.02",0.02,0
"103","h=0.02",0.02,0
"104","h=0.02",0.02,0
"105","h=0.02",0.02,0
"106","h=0.02",0.02,0
"107","h=0.02",0.02,0
"108","h=0.02",0.02,0
"109","h=0.02",0.02,0
"110","h=0.02",0.02,0
"111","h=0.02",0.02,0
"112","h=0.02",0.02,0
"113","h=0.02",0.02,0
"114","h=0.02",0.02,0
"115","h=0.02",0.02,0
"116","h=0.02",0.02,0
"117","h=0.02",0.02,0
"118","h=0.02",0.02,0
"119","h=0.02",0.02,0
"120","h=0.02",0.02,0
"121","h=0.02",0.02,0
"122","h=0.02",0.02,0
"123","h=0.02",0.02,0
"124","h=0.02",0.02,0
"125","h=0.02",0.02,0
"126","h=0.02",0.02,0
"127","h=0.02",0.02,0
"128","h=0.02",0.02,0
"129","h=0.02",0.02,0
"130","h=0.02",0.02,0
"131","h=0.02",0.02,0
"132","h=0.02",0.02,0
"133","h=0.02",0.02,0
"134","h=0.02",0.02,0
"135","h=0.02",0.02,0
"136","h=0.02",0.02,0
"137","h=0.02",0.02,0
"138","h=0.02",0.02,0
"139","h=0.02",0.02,0
"140","h=0.02",0.02,0
"141","h=0.02",0.02,0
"142","h=0.02",0.02,0
"143","h=0.02",0.02,0
"144","h=0.02",0.02,0
"145","h=0.02",0.02,0
"146","h=0.02",0.02,0
"147","h=0.02",0.02,0
"148","h=0.02",0.02,0
"149","h=0.02",0.02,0
"150","h=0.02",0.02,0
"151","h=0.02",0.02,0
"152","h=0.02",0.02,0
"153","h=0.02",0.02,0
"154","h=0.02",0.02,0
"155","h=0.02",0.02,0
"156","h=0.02",0.02,0
"157","h=0.02",0.02,0
"158","h=0.02",0.02,0
"159","h=0.02",0.02,0
"160","h=0.02",0.02,0
"161","h=0.02",0.02,0
"162","h=0.02",0.02,0
"163","h=0.02",0.02,0
"164","h=0.02",0.02,0
"165","h=0.02",0.02,0
"166","h=0.02",0.02,0
"167","h=0.02",0.02,0
"168","h=0.02",0.02,0
"169","h=0.02",0.02,0
"170","h=0.02",0.02,0
"171","h=0.02",0.02,0
"172","h=0.02",0.02,0
"173","h=0.02",0.02,0
"174","h=0.02",0.02,0
"175","h=0.02",0.02,0
"176","h=0.02",0.02,0
"177","h=0.02",0.02,0
"178","h=0.02",0.02,0
"179","h=0.02",0.02,0
"180","h=0.02",0.02,0
"181","h=0.02",0.02,0
"182","h=0.02",0.02,0
"183","h=0.02",0.02,0
"184","h=0.02",0.02,0
"185","h=0.02",0.02,0
"186","h=0.02",0.02,0
"187","h=0.02",0.02,0
"188","h=0.02",0.02,0
"189","h=0.02",0.02,0
"190","h=0.02",0.02,0
"191","h=0.02",0.02,0
"192","h=0.02",0.02,0
"193","h=0.02",0.02,0
"194","h=0.02",0.02,0
"195","h=0.02",0.02,0
"196","h=0.02",0.02,0
"197","h=0.02",0.02,0
"198","h=0.02",0.02,0
"199","h=0.02",0.02,0
"200","h=0.02",0.02,0
"201","h=0.02",0.02,0
"202","h=0.02",0.02,0
"203","h=0.02",0.02,0
"204","h=0.02",0.02,0
"205","h=0.02",0.02,0
"206","h=0.02",0.02,0
"207","h=0.02",0.02,0
"208","h=0.02",0.02,0
"209","h=0.02",0.02,0
"210","h=0.02",0.02,0
"211","h=0.02",0.02,0
"212","h=0.02",0.02,0
"213","h=0.02",0.02,0
"214","h=0.02",0.02,0
"215","h=0.02",0.02,0
"216","h=0.02",0.02,0
"217","h=0.02",0.02,0
"218","h=0.02",0.02,0
"219","h=0.02",0.02,0
"220","h=0.02",0.02,0
"221","h=0.02",0.02,0
"222","h=0.02",0.02,0
"223","h=0.02",0.02,0
"224","h=0.02",0.02,0
"225","h=0.02",0.02,0
"226","h=0.02",0.02,0
"227","h=0.02",0.02,0
"228","h=0.02",0.02,0
"229","h=0.02",0.02,0
"230","h=0.02",0.02,0
"231","h=0.02",0.02,0
"232","h=0.02",0.02,0
"233","h=0.02",0.02,0
"234","h=0.02",0.02,0
"235","h=0.02",0.02,0
"236","h=0.02",0.02,0
"237","h=0.02",0.02,0
"238","h=0.02",0.02,0
"239","h=0.02",0.02,0
"240","h=0.02",0.02,0
"241","h=0.02",0.02,0
"242","h=0.02",0.02,0
"243","h=0.02",0.02,0
"244","h=0.02",0.02,0
"245","h=0.02",0.02,0
"246","h=0.02",0.02,0
"247","h=0.02",0.02,0
"248","h=0.02",0.02,0
"249","h=0.02",0.02,0
"250","h=0.02",0.02,0
"251","h=0.02",0.02,0
"252","h=0.02",0.02,0
"253","h=0.02",0.02,0
"254","h=0.02",0.02,0
"255","h=0.02",0.02,0
"256","h=0.02",0.02,0
"257","h=0.02",0.02,0
"258","h=0.02",0.02,0
"259","h=0.02",0.02,0
"260","h=0.02",0.02,0
"261","h=0.02",0.02,0
"262","h=0.02",0.02,0
"263","h=0.02",0.02,0
"264","h=0.02",0.02,0
"265","h=0.02",0.02,0
"266","h=0.02",0.02,0
"267","h=0.02",0.02,0
"268","h=0.02",0.02,0
"269","h=0.02",0.02,0
"270","h=0.02",0.02,0
"271","h=0.02",0.02,0
"272","h=0.02",0.02,0
"273","h=0.02",0.02,0
"274","h=0.02",0.02,0
"275","h=0.02",0.02,0
"276","h=0.02",0.02,0
"277","h=0.02",0.02,0
"278","h=0.02",0.02,0
"279","h=0.02",0.02,0
"280","h=0.02",0.02,0
"281","h=0.02",0.02,0
"282","h=0.02",0.02,0
"283","h=0.02",0.02,0
"284","h=0.02",0.02,0
"285","h=0.02",0.02,0
"286","h=0.02",0.02,0
"287","h=0.02",0.02,0
"288","h=0.02",0.02,0
"289","h=0.02",0.02,0
"290","h=0.02",0.02,0
"291","h=0.02",0.02,0
"292","h=0.02",0.02,0
"293","h=0.02",0.02,0
"294","h=0.02",0.02,0
"295","h=0.02",0.02,0
"296","h=0.02",0.02,0
"297","h=0.02",0.02,0
"298","h=0.02",0.02,0
"299","h=0.02",0.02,0
"300","h=0.02",0.02,0
"301","h=0.02",0.02,0
"302","h=0.02",0.02,0
"303","h=0.02",0.02,0
"304","h=0.02",0.02,0
"305","h=0.02",0.02,0
"306","h=0.02",0.02,0
"307","h=0.02",0.02,0
"308","h=0.02",0.02,0
"309","h=0.02",0.02,0
"310","h=0.02",0.02,0
"311","h=0.02",0.02,0
"312","h=0.02",0.02,0
"313","h=0.02",0.02,0
"314","h=0.02",0.02,0
"315","h=0.02",0.02,0
"316","h=0.02",0.02,0
"317","h=0.02",0.02,0
"318","h=0.02",0.02,0
"319","h=0.02",0.02,0
"320","h=0.02",0.02,0
"321","h=0.02",0.02,0
"322","h=0.02",0.02,0
"323","h=0.02",0.02,0
"324","h=0.02",0.02,0
"325","h=0.02",0.02,0
"326","h=0.02",0.02,0
"327","h=0.02",0.02,0
"328","h=0.02",0.02,0
"329","h=0.02",0.02,0
"330","h=0.02",0.02,0
"331","h=0.02",0.02,0
"332","h=0.02",0.02,0
"333","h=0.02",0.02,0
"334","h=0.02",0.02,0
"335","h=0.02",0.02,0
"336","h=0.02",0.02,0
"337","h=0.02",0.02,0
"338","h=0.02",0.02,0
"339","h=0.02",0.02,0
"340","h=0.02",0.02,0
"341","h=0.02",0.02,0
"342","h=0.02",0.02,0
"343","h=0.02",0.02,0
"344","h=0.02",0.02,0
"345","h=0.02",0.02,0
"346","h=0.02",0.02,0
"347","h=0.02",0.02,0
"348","h=0.02",0.02,0
"349","h=0.02",0.02,0
"350","h=0.02",0.02,0
"351","h=0.02",0.02,0
"352","h=0.02",0.02,0
