params,h,decision
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,1
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,1
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
h=0.02,0.02,0
